_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
11416,837 Millwood Road  ,,2017-03-01T12:00:00,41,"{'type': 'Point', 'coordinates': (-79.367179439, 43.704811379)}",30,Weekdays from 7 AM - 9 PM,708,Millwood ,40,2016-01-01T10:00:00,46,15.0
11417,135 Overlea Boulevard,EB,2022-07-08T07:00:00,51,"{'type': 'Point', 'coordinates': (-79.336226, 43.709216000000005)}",30,Weekdays from 7 AM - 9 PM,874,Overlea Blvd EB ,50,2019-12-09T14:00:00,56,15.0
11418,837 Millwood Road  ,WB,2017-03-01T12:00:00,41,"{'type': 'Point', 'coordinates': (-79.367179439, 43.704811379)}",30,Weekdays from 7 AM - 9 PM,2160,Millwood Rd WB ,40,2020-04-16T00:00:00,46,15.0
11419,11 Kindale Way,EB,2021-12-02T13:00:00,41,"{'type': 'Point', 'coordinates': (-79.401335, 43.727907)}",5,Weekdays from 7 AM - 9 PM,2634,RANLEIGH AVE EB ,40,2021-02-24T14:00:00,46,15.0
11420,88 Miley Drive,WB,2022-07-08T05:00:00,41,"{'type': 'Point', 'coordinates': (-79.399326, 43.728412)}",5,Weekdays from 7 AM - 9 PM,2636,RANLEIGH AVE WB ,40,2021-03-01T08:00:00,46,15.0
11421,DENLOW BLVD 79M E/OF HAMLET GT,WB,,31,"{'type': 'Point', 'coordinates': (-79.363150884, 43.745467135)}",20,Weekdays from 7 AM - 9 PM,2844,DENLOW BLVD WB ,30,2022-02-28T12:00:00,36,15.0
11422,47 RANLEIGH AVE,EB,,31,"{'type': 'Point', 'coordinates': (-79.401299576, 43.72785928)}",20,Weekdays from 7 AM - 9 PM,2858,RANLEIGH AVE EB ,30,2022-03-01T12:00:00,36,15.0
11423,DENLOW BLVD 79M E/OF HAMLET GT,WB,,41,"{'type': 'Point', 'coordinates': (-79.363154, 43.745513)}",5,Weekdays from 7 AM - 9 PM,2909,DENLOW BLVD WB ,40,2022-03-28T10:00:00,46,15.0
11424,342 BANBURY RD,SB,,31,"{'type': 'Point', 'coordinates': (-79.370862636, 43.753903472)}",20,Weekdays from 7 AM - 9 PM,3179,BANBURY RD SB ,30,2022-04-22T11:00:00,36,15.0
11425,THORNCLIFFE PARK DR 193M S/OF OVERLEA BLVD,SB,,41,"{'type': 'Point', 'coordinates': (-79.34290264600001, 43.705681323)}",5,Weekdays from 7 AM - 9 PM,32310,THORNCLIFFE PARK DR SB ,40,2022-10-21T11:00:00,46,15.0
